text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Really glad I went to #webhooks nice complement to Rushkoff's talk. Now parked for #clayshirky #sxsw,,jen_bolton,10473802491,20201723,en,&lt;a href=&quot;http://www.tweetdeck.com/&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/382493761/JEN-BOLTON---NCSOFT_th_normal.jpg,,0,0,Sun 14 Mar 2010 15:52:13 +0000,1268581933
a new day at #sxsw - hard pressed to find a better way to start the day than with #clayshirky,,emoxley,10473830352,195585,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/257637546/n1100103_32644696_4425_normal.jpg,,0,0,Sun 14 Mar 2010 15:53:03 +0000,1268581983
About to watch #clayshirky speak at his panel (@ SXSW / ACC - Ballroom D w/ 39 others) http://4sq.com/bgiCEG,,STorrence,10473856107,1754304,en,&lt;a href=&quot;http://foursquare.com&quot; rel=&quot;nofollow&quot;&gt;foursquare&lt;/a&gt;,http://a3.twimg.com/profile_images/290539583/EatYourBrainStephen01_trimmed_normal.jpg,,0,0,Sun 14 Mar 2010 15:53:50 +0000,1268582030
Up next: #clayshirky on &quot;Monkeys with Internet Access: Sharing Human Nature and Digital Data&quot; #sxsw,,laurelhart,10473880726,181423,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/120027113/LH_crop2_normal.jpg,,0,0,Sun 14 Mar 2010 15:54:36 +0000,1268582076
Trying something different: monkeys with internet access. #clayshirky,,OoshieUX,10473889584,102388725,en,&lt;a href=&quot;http://www.swift-app.com/&quot; rel=&quot;nofollow&quot;&gt;Swift&lt;/a&gt;,http://s.twimg.com/a/1268437273/images/default_profile_5_normal.png,,0,0,Sun 14 Mar 2010 15:54:53 +0000,1268582093
RT @mthomps: Will be liveblogging Clay Shirky: http://bit.ly/c9EfJn #sxsw #clayshirky. Mthomps on Web Overload   http://tinyurl.com/qc5u33,,NiemanReports,10473902845,52919459,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/392996027/Twitter_icon2_normal.jpeg,,0,0,Sun 14 Mar 2010 15:55:16 +0000,1268582116
only @mthomps liveblogging ( http://bit.ly/c9EfJn #sxsw #clayshirky ) gets me out of bed early despite full sked &amp; @cfarivar 's g'bye party,,SaheliDatta,10473920115,542391,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/388189876/ssrdphoto_bigger_twitter_normal.jpg,,0,0,Sun 14 Mar 2010 15:55:49 +0000,1268582149
Next stop: #clayshirky Taking notes and watching (for your) reviews at http://lunch.com/t/zqt,,thomasknoll,10473923929,945913,en,&lt;a href=&quot;http://sharefeed.com&quot; rel=&quot;nofollow&quot;&gt;ShareFeed&lt;/a&gt;,http://a1.twimg.com/profile_images/686387602/thomasknoll_normal.png,,0,0,Sun 14 Mar 2010 15:55:56 +0000,1268582156
@tracymueller Look forward to your #DanRoam tweets as I opted for #clayshirky #sxswi #sxswi,2935357,CharlesOuthier,10473925855,94990574,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/689739900/IMG_1277_6_normal.jpeg,,0,0,Sun 14 Mar 2010 15:55:59 +0000,1268582159
#clayshirky about to start Monkeys with Internet Access: Sharing Human Nature and Digital Data http://ow.ly/1qnnEp,,lorionline,10473946051,5526338,en,&lt;a href=&quot;http://tweetmeme.com&quot; rel=&quot;nofollow&quot;&gt;TweetMeme&lt;/a&gt;,http://a3.twimg.com/profile_images/82843879/Twitter_art_normal.jpg,,0,0,Sun 14 Mar 2010 15:56:37 +0000,1268582197
